	BC-456	BC-457	BC-458	BC-459	BC-460	BC-461	BC-464	BC-465	BC-466	BC-467	BC-468	BC-469	BC-470	BC-471	BC-472	BC-473	BC-474	BC-475	BC-476	BC-477
A23B225	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
A23B226	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
A23B227	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
A23B228	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
A23B229	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
A23B230	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
A23B231	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
A23B232	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
A23B233	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
A23B234	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
A23B235	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
A24B224	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
A24B225	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
A24B226	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
A24B227	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
A24B228	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
A24B229	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
A24B230	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
A24B231	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
A24B232	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
A24B233	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
A24B234	1	1	0.00000000493247806799893	1	1	1	1	1	0.578523295076535	1	1	1	1	1	0.403424645260471	0.38568219671769	1	1	1	1
A24B235	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
A25B224	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
A25B225	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
A25B226	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
A25B227	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
